acct_id,cardholder,state,txn_index,timestamp,merchant_cat,merchant,txn_amount
ACCT-013E4482,Alexis Parsons,CA,1,2025-01-02 21:20:56,entertainment,AMC Theatres,158.4
ACCT-013E4482,Alexis Parsons,CA,2,2025-01-03 09:55:05,subscription,Spotify,12.99
ACCT-013E4482,Alexis Parsons,CA,3,2025-01-03 10:49:25,healthcare,Walgreens,1529.73
ACCT-013E4482,Alexis Parsons,CA,4,2025-01-03 17:05:01,retail,Best Buy,94.89
ACCT-013E4482,Alexis Parsons,CA,5,2025-01-04 00:00:07,subscription,Netflix,12.99
ACCT-013E4482,Alexis Parsons,CA,6,2025-01-04 08:20:45,healthcare,CVS Pharmacy,46.97
ACCT-013E4482,Alexis Parsons,CA,7,2025-01-04 11:13:35,wire_transfer,PayPal,1866.93
ACCT-013E4482,Alexis Parsons,CA,8,2025-01-05 07:17:02,e-commerce,Amazon,210.43
ACCT-013E4482,Alexis Parsons,CA,9,2025-01-05 15:48:54,other,FedEx,77.3
ACCT-013E4482,Alexis Parsons,CA,10,2025-01-05 19:03:40,grocery,Whole Foods Market,42.31
ACCT-013E4482,Alexis Parsons,CA,11,2025-01-06 08:39:03,automotive,Pep Boys,29.19
ACCT-013E4482,Alexis Parsons,CA,12,2025-01-06 11:26:54,travel,Delta Air Lines,486.36
ACCT-013E4482,Alexis Parsons,CA,13,2025-01-07 12:34:41,grocery,Trader Joe's,54.58
ACCT-013E4482,Alexis Parsons,CA,14,2025-01-07 16:17:52,ATM,Chase Bank ATM,100.0
ACCT-013E4482,Alexis Parsons,CA,15,2025-01-08 09:44:11,healthcare,CareNow Urgent Care,19.17
ACCT-013E4482,Alexis Parsons,CA,16,2025-01-08 13:00:44,e-commerce,Amazon,44.25
ACCT-013E4482,Alexis Parsons,CA,17,2025-01-09 15:06:58,healthcare,CVS Pharmacy,22.26
ACCT-013E4482,Alexis Parsons,CA,18,2025-01-10 15:51:08,automotive,Valvoline Instant Oil Change,19.06
ACCT-013E4482,Alexis Parsons,CA,19,2025-01-11 11:27:40,dining,McDonald's,55.44
ACCT-013E4482,Alexis Parsons,CA,20,2025-01-11 12:41:16,other,7-Eleven,99.29
ACCT-013E4482,Alexis Parsons,CA,21,2025-01-12 09:44:45,travel,Delta Air Lines,1054.22
ACCT-013E4482,Alexis Parsons,CA,22,2025-01-12 12:51:15,dining,McDonald's,54.49
ACCT-013E4482,Alexis Parsons,CA,23,2025-01-12 15:51:46,gas,Chevron,85.07
ACCT-013E4482,Alexis Parsons,CA,24,2025-01-13 04:08:58,subscription,Disney+,24.99
ACCT-013E4482,Alexis Parsons,CA,25,2025-01-13 23:00:24,dining,Starbucks,94.89
ACCT-013E4482,Alexis Parsons,CA,26,2025-01-15 10:11:24,healthcare,Walgreens,22.21
ACCT-013E4482,Alexis Parsons,CA,27,2025-01-15 16:31:48,utilities,Pacific Gas & Electric,273.83
ACCT-013E4482,Alexis Parsons,CA,28,2025-01-15 17:27:19,entertainment,AMC Theatres,51.78
ACCT-013E4482,Alexis Parsons,CA,29,2025-01-16 18:36:02,entertainment,AMC Theatres,57.99
ACCT-013E4482,Alexis Parsons,CA,30,2025-01-17 00:23:15,subscription,Disney+,7.99
ACCT-013E4482,Alexis Parsons,CA,31,2025-01-17 07:47:06,healthcare,Walgreens,885.32
ACCT-013E4482,Alexis Parsons,CA,32,2025-01-17 13:43:59,ATM,Chase Bank ATM,80.0
ACCT-013E4482,Alexis Parsons,CA,33,2025-01-17 19:24:07,e-commerce,Amazon,26.1
ACCT-013E4482,Alexis Parsons,CA,34,2025-01-18 07:00:28,utilities,Pacific Gas & Electric,137.58
ACCT-013E4482,Alexis Parsons,CA,35,2025-01-18 19:06:07,grocery,Whole Foods Market,108.46
ACCT-013E4482,Alexis Parsons,CA,36,2025-01-18 19:18:31,entertainment,AMC Theatres,187.52
ACCT-013E4482,Alexis Parsons,CA,37,2025-01-19 14:46:00,grocery,Whole Foods Market,80.93
ACCT-013E4482,Alexis Parsons,CA,38,2025-01-20 05:29:10,subscription,Netflix,14.99
ACCT-013E4482,Alexis Parsons,CA,39,2025-01-20 14:06:42,utilities,Pacific Gas & Electric,137.82
ACCT-013E4482,Alexis Parsons,CA,40,2025-01-20 19:08:30,dining,Starbucks,88.9
ACCT-013E4482,Alexis Parsons,CA,41,2025-01-21 00:00:23,subscription,Netflix,9.99
ACCT-013E4482,Alexis Parsons,CA,42,2025-01-21 07:00:55,automotive,Midas,13.09
ACCT-013E4482,Alexis Parsons,CA,43,2025-01-21 14:06:52,e-commerce,Amazon,126.12
ACCT-013E4482,Alexis Parsons,CA,44,2025-01-22 02:15:54,subscription,Spotify,14.99
ACCT-013E4482,Alexis Parsons,CA,45,2025-01-22 11:05:41,healthcare,Walgreens Pharmacy,23.7
ACCT-013E4482,Alexis Parsons,CA,46,2025-01-22 12:30:06,e-commerce,Amazon,114.15
ACCT-013E4482,Alexis Parsons,CA,47,2025-01-22 19:11:09,e-commerce,Amazon,193.72
ACCT-013E4482,Alexis Parsons,CA,48,2025-01-23 07:00:36,healthcare,CVS Pharmacy,25.1
ACCT-013E4482,Alexis Parsons,CA,49,2025-01-23 13:05:23,retail,Nordstrom,70.56
ACCT-013E4482,Alexis Parsons,CA,50,2025-01-23 16:18:59,automotive,Jiffy Lube,23.45
ACCT-013E4482,Alexis Parsons,CA,51,2025-01-24 14:44:33,gas,Shell,54.92
ACCT-013E4482,Alexis Parsons,CA,52,2025-01-24 17:17:56,retail,Walmart,36.9
ACCT-013E4482,Alexis Parsons,CA,53,2025-01-24 20:02:05,dining,Starbucks,71.88
ACCT-013E4482,Alexis Parsons,CA,54,2025-01-24 20:49:05,dining,Starbucks,152.21
ACCT-013E4482,Alexis Parsons,CA,55,2025-01-25 10:49:54,grocery,Whole Foods Market,71.66
ACCT-013E4482,Alexis Parsons,CA,56,2025-01-25 11:04:36,wire_transfer,PayPal,2044.84
ACCT-013E4482,Alexis Parsons,CA,57,2025-01-25 11:42:56,healthcare,CVS Pharmacy,43.57
ACCT-013E4482,Alexis Parsons,CA,58,2025-01-26 08:40:20,gas,Shell,92.35
ACCT-013E4482,Alexis Parsons,CA,59,2025-01-26 15:24:59,retail,Target,29.61
ACCT-013E4482,Alexis Parsons,CA,60,2025-01-26 15:39:29,e-commerce,Amazon,63.64
ACCT-013E4482,Alexis Parsons,CA,61,2025-01-26 16:54:39,grocery,Safeway,30.39
ACCT-013E4482,Alexis Parsons,CA,62,2025-01-26 18:23:25,dining,McDonald's,27.16
ACCT-013E4482,Alexis Parsons,CA,63,2025-01-26 19:58:15,entertainment,AMC Theatres,66.1
ACCT-013E4482,Alexis Parsons,CA,64,2025-01-27 05:14:48,subscription,Netflix,4.99
ACCT-013E4482,Alexis Parsons,CA,65,2025-01-27 07:00:18,automotive,Midas,34.88
ACCT-013E4482,Alexis Parsons,CA,66,2025-01-27 21:48:35,entertainment,AMC Theatres,234.73
ACCT-013E4482,Alexis Parsons,CA,67,2025-01-28 09:25:01,e-commerce,Amazon,131.08
ACCT-013E4482,Alexis Parsons,CA,68,2025-01-28 15:38:52,automotive,Midas,15.8
ACCT-013E4482,Alexis Parsons,CA,69,2025-01-28 18:00:00,gas,Chevron,67.15
ACCT-013E4482,Alexis Parsons,CA,70,2025-01-28 19:32:06,ATM,Bank of America ATM,300.0
ACCT-013E4482,Alexis Parsons,CA,71,2025-01-28 19:54:09,entertainment,AMC Theatres,87.39
ACCT-013E4482,Alexis Parsons,CA,72,2025-01-28 22:20:56,entertainment,AMC Theatres,61.56
ACCT-013E4482,Alexis Parsons,CA,73,2025-01-29 17:31:22,retail,Target,139.57
ACCT-013E4482,Alexis Parsons,CA,74,2025-01-31 07:44:11,subscription,Netflix,19.99
ACCT-013E4482,Alexis Parsons,CA,75,2025-01-31 16:01:55,grocery,Whole Foods Market,87.15
ACCT-013E4482,Alexis Parsons,CA,76,,,,
ACCT-013E4482,Alexis Parsons,CA,77,,,,
ACCT-013E4482,Alexis Parsons,CA,78,,,,
ACCT-013E4482,Alexis Parsons,CA,79,,,,
ACCT-013E4482,Alexis Parsons,CA,80,,,,
ACCT-013E4482,Alexis Parsons,CA,81,,,,
ACCT-013E4482,Alexis Parsons,CA,82,,,,
ACCT-013E4482,Alexis Parsons,CA,83,,,,
ACCT-013E4482,Alexis Parsons,CA,84,,,,
ACCT-013E4482,Alexis Parsons,CA,85,,,,
ACCT-013E4482,Alexis Parsons,CA,86,,,,
ACCT-013E4482,Alexis Parsons,CA,87,,,,
ACCT-013E4482,Alexis Parsons,CA,88,,,,
ACCT-013E4482,Alexis Parsons,CA,89,,,,
ACCT-013E4482,Alexis Parsons,CA,90,,,,
ACCT-013E4482,Alexis Parsons,CA,91,,,,
ACCT-013E4482,Alexis Parsons,CA,92,,,,
ACCT-013E4482,Alexis Parsons,CA,93,,,,
ACCT-013E4482,Alexis Parsons,CA,94,,,,
ACCT-0309DF81,Jillian Garrison,UT,1,2025-01-01 07:00:46,healthcare,Walgreens,31.14
