Id,CaseNumber,Subject,Status,Priority,Origin,Type,Reason,SuppliedName,SuppliedEmail,Description,ClosedDate,CreatedDate,IsClosed,AccountId,AssetId,ContactId,ParentId,ProductId
500J4iAdN9bfDmoQS2,1,Performance review,Working,High,Phone,Problem,Performance,Daro T. Orvell-Oak,cibj-x.plrfpb-qmx.1-2295@example.invalid,Request for assistance with performance review in a synthetic environment.,,2023-02-14T17:35:41Z,0,001PUaO8FLbQ5tuY7R,02iycbtOSOw2G6CQXE,003WigBg2Z3ycopYY4,,01tFkHMuj8shz13IXI
5004msFDuf1jZvLAYQ,2,Integration setup,Working,Medium,Email,Question,User Education,Ceryn K. Quillen-Quill,uzsni-h.okgqglr-dntmz.7-5656@example.invalid,Request for assistance with integration setup in a synthetic environment.,,2021-10-24T08:12:36Z,0,001b9Ubd6IpdBJKANL,02iRB2Am5sMEoOeIGK,003gceY71ZavIIHILB,,01tkl3rdZhto0MWIR8
500ns9T0FrQIwmxYNY,3,Performance review,New,Medium,Email,Feature Request,Installation,Bexa B. Aldren-Bay,soqh-u.siknkf-wry.2-2702@example.invalid,Request for assistance with performance review in a synthetic environment.,,2024-07-11T20:19:32Z,0,001tvKQbYklnB9tY2P,02iPhieNlmhDd8QYMX,0035SIDZk9dE2gOYAS,,01tnFIvrye7TJuKI6Y
500arcn3vx0KSUrIAY,4,Integration setup,Closed,Medium,Phone,Question,User Education,Aven S. Belnor-Dell,zqbg-n.wzbkul-furx.5-5612@example.invalid,Request for assistance with integration setup in a synthetic environment.,2024-12-14T20:40:57Z,2024-12-03T05:44:55Z,1,0017Pw79T9KgAdXIW1,02ihpOyxQzAHTvdQP8,003AVwbKQi2MEUgQ7M,500J4iAdN9bfDmoQS2,
50053w0Trh73ahoARH,5,Access configuration,Closed,Low,Email,Problem,Other,Veya I. Denvik-Fen,adbw-y.arfzua-zui.5-0710@example.invalid,Request for assistance with access configuration in a synthetic environment.,2024-05-05T06:29:33Z,2024-04-14T00:17:22Z,1,001WPEcjxhamiNXYYJ,02inKHshIadDRa9I98,0038rexBEcSCxEDQ0Q,,01tFpX2FRUqcRnqIM9
500d60sfyL3SRATAFF,6,Performance review,Closed,Low,Email,Problem,User Education,Tovan Z. Esmere-Hart,lvlpx-d.ymizli-ufic.1-8760@example.invalid,Request for assistance with performance review in a synthetic environment.,2023-02-26T14:03:57Z,2023-02-23T03:31:50Z,1,001j6nRokzRlCs1Y07,02i3ynvezuIr0ovAJ2,003W4j2IQwOiUqBIH6,,01t8I3IcAgR0TlmYMW
500H7XPgiRwdg57AWD,7,Service request,New,High,Email,Question,User Education,Sena Q. Galenor-Jade,ewno-t.kuswyss-jzlk.7-3011@example.invalid,Request for assistance with service request in a synthetic environment.,,2022-05-29T06:00:16Z,0,001RGWydjko0QMRY5C,02ijkRagLTY7k81Y4Q,003CM9mmOrCSrVvYCN,500J4iAdN9bfDmoQS2,01tJs4IP4KXGpqSYC5
500idHJgkPNfXLCYWU,8,Performance review,New,High,Email,Feature Request,User Education,Raviq H. Iverne-Lake,builw-c.kxlmug-bukj.7-1620@example.invalid,Request for assistance with performance review in a synthetic environment.,,2023-09-25T22:35:34Z,0,,02i5vouugBbVdc2I1H,003QfRPBunwS0dvYKE,,01tjyaSebi2TTnjA4L
500FcZS51dyBW26YJC,9,Performance review,New,Medium,Web,Problem,User Education,Pella Y. Jassel-North,kzwrx-k.qajwos-resrd.1-0752@example.invalid,Request for assistance with performance review in a synthetic environment.,,2024-01-23T11:16:30Z,0,001rvlO3y0uELfOAW4,02id1V7jO2wqwyqQLV,003uql3pJq5GjswANL,,
500HtaMrRgbq914QY9,10,Access configuration,New,Low,Web,Problem,Other,Orin P. Lioren-Pine,fmai-l.bffnnj-tjcq.9-9371@example.invalid,Request for assistance with access configuration in a synthetic environment.,,2024-01-02T02:51:06Z,0,001Yuy98mwACfhVANS,02iSKZmxzq2UoP8AGZ,003xWEC3pwie7oEY82,,01tTiYOuKc2VhIKABY
500yHlM1Nd0OdygQIV,11,Access configuration,Closed,Medium,Web,Question,Performance,Nali G. Norrell-Reed,eewm-z.awgxjak-ubos.13-5170@example.invalid,Request for assistance with access configuration in a synthetic environment.,2025-12-22T10:07:15Z,2025-11-24T14:42:14Z,1,001oiBORV4MFMZ7ID8,,003JT1QIxPg3Up0QZ6,,01tcUKXpM0WRALnA5M
500WdhCnYxuzgyFY1W,12,Billing question,Working,Low,Email,Feature Request,Performance,Miren X. Orvell-Bay,ceuzf-u.xxmiyp-gge.43-913@example.invalid,Request for assistance with billing question in a synthetic environment.,,2023-07-18T15:27:13Z,0,001qwQ0uBTzXeScQCK,02irK18iUmHsjTlIUW,003K076t9EMOdrZIMF,,01tfdIGGuNBWWCKI1L
500i5mlYfMeiRpfQ8E,13,Billing question,Working,High,Email,Question,Other,Lumo O. Quillen-Dell,kgix-k.qjbqqfa-nlal.74-8654@example.invalid,Request for assistance with billing question in a synthetic environment.,,2021-11-11T08:29:40Z,0,001Y94eVbSCMZThYRA,02ih6Go7vQW5S9vAUQ,003pRfElOlZFaFHQ2C,,01tLQO6rC3r5eZ7I1Z
500G7gkgGEJesUrI46,14,Service request,Escalated,Medium,Web,Feature Request,Other,Kessa F. Aldren-Glen,qzblq-m.riamgs-qzgn.08-8326@example.invalid,Request for assistance with service request in a synthetic environment.,,2022-08-24T15:57:08Z,0,001paldePwcfVa7AJJ,02iUht9fGAuS0cjAF3,003PtuFiIM0PAx5YGL,5004msFDuf1jZvLAYQ,
500mGHqGh6WJEY2IQ1,15,Performance review,Closed,High,Email,Question,User Education,Jorin W. Belnor-Isle,dmbth-q.jcvhir-bacv.37-3442@example.invalid,Request for assistance with performance review in a synthetic environment.,2021-04-19T12:13:14Z,2021-04-03T18:55:14Z,1,001XOGQaJwZLxA8YV5,02iSBJnBRmGpNc6Q4W,,,01tE5PQcgk49jQkYPK
500P13Hxb7ONz8cAHT,16,Service request,Working,Low,Email,Problem,User Education,Ivara N. Denvik-Knoll,eruon-n.bhvowv-uzhrp.47-3311@example.invalid,Request for assistance with service request in a synthetic environment.,,2021-09-09T23:41:50Z,0,001j6nRokzRlCs1Y07,02ifXScBdVdOOMlADY,0032d55Lu3aGP4UY02,,01tCGhSYxgJztyAYCK
500eYIFFs8Ve4zGQ4K,17,Access configuration,Working,High,Phone,Feature Request,Other,Fenn E. Farlowe-Moor,oseo-y.jfjfgvr-leyq.77-6096@example.invalid,Request for assistance with access configuration in a synthetic environment.,,2021-04-29T04:51:24Z,0,0015Cr2vcIsO2EGY08,02iz1rE3QzpirhFAZF,,,01tCGhSYxgJztyAYCK
500NAtZF4UI5ElkY92,18,Billing question,Closed,High,Web,Feature Request,Performance,Elari V. Galenor-Oak,xzilp-v.qdlairn-tgv.83-8397@example.invalid,Request for assistance with billing question in a synthetic environment.,2026-01-14T17:59:03Z,2026-01-02T13:24:20Z,1,,02iU2EQW8MOA1J8IIM,003s8MYKvLvCt3ZAN8,,01t1WVbvQg0mCR8IQ5
