Id,Subject,TextBody,FromName,FromAddress,ToAddress,Status,MessageDate,CreatedDate,Incoming,HasAttachment,ParentId,RelatedToId,RelatedToType
02sl5xIjI8jS0HvIHN,Service update,This is a synthetic message regarding service update. No response is required.,Synthetic CRM Support,402 Peterson Drives,sena-c.galenor-ash.0-5623@example.invalid,Sent,2022-05-14T02:06:40Z,2022-05-14T16:35:02Z,0,0,500dpR8gW5twNftYVC,800v3EwPk1iwoKsAXF,Contract
02sQ0fwxAbdNGBOQP2,Service update,This is a synthetic message regarding service update. No response is required.,Synthetic CRM Support,402 Peterson Drives,raviq-t.hollin-crest.1-8199@example.invalid,Draft,2023-01-29T17:06:28Z,2023-01-29T17:26:43Z,0,0,500DKw2NIkWn8H2Y7N,001yQSD3rwvt3ZBAV9,Account
02s85gStPsRwl5aQ9S,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Pella K. Jassel-Elm,16475 Mitchell Fords,crm-support@example.invalid,Read,2023-11-10T13:27:48Z,2023-11-10T21:18:23Z,1,0,,,
02s6UpMSnv7eGTLIUF,Service update,This is a synthetic message regarding service update. No response is required.,Synthetic CRM Support,402 Peterson Drives,orin-b.lioren-glen.3-558@example.invalid,Sent,2026-05-19T06:48:51Z,2026-05-19T23:22:17Z,0,0,,,
02syDyxe45bYZllY43,Service update,This is a synthetic message regarding service update. No response is required.,Nali S. Mavren-Isle,537 Wilkerson Row,crm-support@example.invalid,Draft,2026-01-26T20:14:34Z,2026-01-26T00:18:37Z,1,0,,7107w2YsFXTaBbMYJI,Opportunity
02sVfFPBpuUlw0wAZH,Service update,This is a synthetic message regarding service update. No response is required.,Miren J. Orvell-Knoll,784 Erin Crescent,crm-support@example.invalid,Sent,2021-01-01T09:11:09Z,2021-01-01T20:56:01Z,1,1,500Me0oQmkZxPLBIX9,500a4nI12nQqAM1YL3,Case
02sCH6VxGtxv1dpIIH,Service update,This is a synthetic message regarding service update. No response is required.,Synthetic CRM Support,402 Peterson Drives,lumo-a.quillen-moor.6-2701@example.invalid,Read,2023-12-29T09:23:13Z,2023-12-29T23:32:21Z,0,1,,500a4hvM34RiUNLAMT,Case
02sLqtopnoxteTuI3U,Workshop details,This is a synthetic message regarding workshop details. No response is required.,Synthetic CRM Support,402 Peterson Drives,kessa-r.rellor-oak.7-2086@example.invalid,Sent,2024-01-04T12:02:34Z,2024-01-04T02:42:50Z,0,0,,500a71OgRKKcEaWIIJ,Case
02s8hGgaZxMSVONQ5U,Service update,This is a synthetic message regarding service update. No response is required.,Jorin I. Belnor-Reed,4303 Christopher Oval,crm-support@example.invalid,Draft,2021-06-09T22:06:29Z,2021-06-09T12:09:59Z,1,1,500gSnomi34s0RNA7B,800agHx6nx1yxCcA1H,Opportunity
02sBvMDLHuFSiwwI2B,Contract follow-up,This is a synthetic message regarding contract follow-up. No response is required.,Ivara Z. Corven-Bay,93010 Carlos Bypass,crm-support@example.invalid,Sent,2025-12-19T06:07:50Z,2025-12-19T22:22:10Z,1,1,,50i9BXiRVclFs7BAAD,Opportunity
