Id,Name,DeveloperName,Description,State,CreatedDate,Priority
0MI0gQqg49w1KHlGWP,Danielle Figueroa,northern_enterprise_1,Synthetic sales territory for balanced account coverage.,Active,2022-08-30T22:07:31Z,20
0MITSyz0OmeEL3W47W,Colin Munoz,southern_strategic_2,Synthetic sales territory for balanced account coverage.,Active,2021-04-08T03:28:17Z,56
0MI9TCkBhHzAlSY4ZB,George Martin,coastal_enterprise_3,Synthetic sales territory for balanced account coverage.,Planning,2023-06-26T08:02:49Z,29
0MIZiDEepgxVxatOGZ,Anna Burgess,eastern_enterprise_4,Synthetic sales territory for balanced account coverage.,Planning,2024-06-20T23:57:59Z,1
0MIJDtxwl5qoxZcO03,Ryan Smith,southern_growth_5,Synthetic sales territory for balanced account coverage.,Planning,2025-01-23T01:26:17Z,4
0MIl7AqSJ4kdopu43S,Thomas Baker,northern_growth_6,Synthetic sales territory for balanced account coverage.,Planning,2024-12-25T21:15:22Z,98
0MImLHdZ8TzTCCpG37,Colin Munoz,southern_strategic_7,Synthetic sales territory for balanced account coverage.,Active,2023-05-27T15:28:19Z,90
0MICqLzuYbs6nnLOCB,Todd Cummings,eastern_growth_8,Synthetic sales territory for balanced account coverage.,Planning,2024-05-18T00:15:30Z,48
0MIzC1NVIBnZH17O31,Todd Cummings,eastern_growth_9,Synthetic sales territory for balanced account coverage.,Planning,2022-10-07T11:25:32Z,92
0MIyjKppR3FZep6ORD,Corey Novak,southern_enterprise_10,Synthetic sales territory for balanced account coverage.,Active,2022-04-15T20:34:33Z,20
0MIQn6uAa6LyrpmGIH,Colin Munoz,southern_strategic_11,Synthetic sales territory for balanced account coverage.,Active,2023-06-24T12:08:14Z,95
0MIkKpdWPyI8bzvOT2,Casey Leonard,coastal_strategic_12,Synthetic sales territory for balanced account coverage.,Active,2026-04-28T07:57:31Z,43
0MIpee9LC2z1Et8OTC,Casey Leonard,coastal_strategic_13,Synthetic sales territory for balanced account coverage.,Active,2024-05-04T09:16:13Z,27
0MIBZ92Y8c7CsczWGK,Todd Cummings,eastern_growth_14,Synthetic sales territory for balanced account coverage.,Archived,2022-12-31T22:10:56Z,82
0MI9W71ergxUCFa442,Colin Munoz,southern_strategic_15,Synthetic sales territory for balanced account coverage.,Archived,2021-11-16T19:11:35Z,58
0MIVaOTIMtKYKRkOB8,Christine Jones,western_growth_16,Synthetic sales territory for balanced account coverage.,Planning,2023-01-14T04:51:09Z,19
0MIJkNu03tSUxmjGSK,Todd Cummings,eastern_growth_17,Synthetic sales territory for balanced account coverage.,Archived,2022-03-05T00:42:02Z,76
0MIVpi3uiBlDpWQGEO,Anna Burgess,eastern_enterprise_18,Synthetic sales territory for balanced account coverage.,Active,2022-11-27T03:57:52Z,67
0MIw3XpueDmDiAD4NI,Danielle Figueroa,northern_enterprise_19,Synthetic sales territory for balanced account coverage.,Archived,2022-03-30T19:41:24Z,89
0MIhFynwfbVXs9dGVQ,Melissa King,western_enterprise_20,Synthetic sales territory for balanced account coverage.,Archived,2025-11-01T12:43:19Z,23
