Id,CaseNumber,Subject,Status,Priority,Origin,Type,Reason,SuppliedName,SuppliedEmail,Description,ClosedDate,CreatedDate,IsClosed,AccountId,AssetId,ContactId,ParentId,ProductId
500J4iAdN9bfDmoQS2,1,Performance review,Working,High,Phone,Problem,Performance,Danielle D. Figueroa,danielle-d.figueroa.4-5847@example.invalid,Request for assistance with performance review in a synthetic environment.,,2023-02-14T17:35:41Z,0,001PUaO8FLbQ5tuY7R,02iycbtOSOw2G6CQXE,003WigBg2Z3ycopYY4,,01tFkHMuj8shz13IXI
5004msFDuf1jZvLAYQ,2,Integration setup,Working,Medium,Email,Question,User Education,Colin C. Munoz,colin-c.munoz.9-4356@example.invalid,Request for assistance with integration setup in a synthetic environment.,,2021-10-24T08:12:36Z,0,001b9Ubd6IpdBJKANL,02iRB2Am5sMEoOeIGK,003gceY71ZavIIHILB,,01tkl3rdZhto0MWIR8
500ns9T0FrQIwmxYNY,3,Performance review,New,Medium,Email,Feature Request,Installation,George G. Martin,george-g.martin.5-4433@example.invalid,Request for assistance with performance review in a synthetic environment.,,2024-07-11T20:19:32Z,0,001tvKQbYklnB9tY2P,02iPhieNlmhDd8QYMX,0035SIDZk9dE2gOYAS,,01tnFIvrye7TJuKI6Y
500arcn3vx0KSUrIAY,4,Integration setup,Closed,Medium,Phone,Question,User Education,Anna C. Burgess,anna-c.burgess.8-8715@example.invalid,Request for assistance with integration setup in a synthetic environment.,2024-12-14T20:40:57Z,2024-12-03T05:44:55Z,1,0017Pw79T9KgAdXIW1,02ihpOyxQzAHTvdQP8,003AVwbKQi2MEUgQ7M,500J4iAdN9bfDmoQS2,
50053w0Trh73ahoARH,5,Access configuration,Closed,Low,Email,Problem,Other,Ryan B. Smith,ryan-b.smith.0-0801@example.invalid,Request for assistance with access configuration in a synthetic environment.,2024-05-05T06:29:33Z,2024-04-14T00:17:22Z,1,001WPEcjxhamiNXYYJ,02inKHshIadDRa9I98,0038rexBEcSCxEDQ0Q,,01tFpX2FRUqcRnqIM9
500d60sfyL3SRATAFF,6,Performance review,Closed,Low,Email,Problem,User Education,Thomas R. Baker,thomas-r.baker.1-5807@example.invalid,Request for assistance with performance review in a synthetic environment.,2023-02-26T14:03:57Z,2023-02-23T03:31:50Z,1,001j6nRokzRlCs1Y07,02i3ynvezuIr0ovAJ2,003W4j2IQwOiUqBIH6,,01t8I3IcAgR0TlmYMW
500H7XPgiRwdg57AWD,7,Service request,New,High,Email,Question,User Education,Todd N. Cummings,todd-n.cummings.2-6596@example.invalid,Request for assistance with service request in a synthetic environment.,,2022-05-29T06:00:16Z,0,001RGWydjko0QMRY5C,02ijkRagLTY7k81Y4Q,003CM9mmOrCSrVvYCN,500J4iAdN9bfDmoQS2,01tJs4IP4KXGpqSYC5
500idHJgkPNfXLCYWU,8,Performance review,New,High,Email,Feature Request,User Education,Corey D. Novak,corey-d.novak.5-5633@example.invalid,Request for assistance with performance review in a synthetic environment.,,2023-09-25T22:35:34Z,0,,02i5vouugBbVdc2I1H,003QfRPBunwS0dvYKE,,01tjyaSebi2TTnjA4L
500FcZS51dyBW26YJC,9,Performance review,New,Medium,Web,Problem,User Education,Casey J. Leonard,casey-j.leonard.0-4302@example.invalid,Request for assistance with performance review in a synthetic environment.,,2024-01-23T11:16:30Z,0,001rvlO3y0uELfOAW4,02id1V7jO2wqwyqQLV,003uql3pJq5GjswANL,,
500HtaMrRgbq914QY9,10,Access configuration,New,Low,Web,Problem,Other,Christine M. Jones,christine-m.jones.5-1815@example.invalid,Request for assistance with access configuration in a synthetic environment.,,2024-01-02T02:51:06Z,0,001Yuy98mwACfhVANS,02iSKZmxzq2UoP8AGZ,003xWEC3pwie7oEY82,,01tTiYOuKc2VhIKABY
500yHlM1Nd0OdygQIV,11,Access configuration,Closed,Medium,Web,Question,Performance,Melissa V. King,melissa-v.king.85-8759@example.invalid,Request for assistance with access configuration in a synthetic environment.,2025-12-22T10:07:15Z,2025-11-24T14:42:14Z,1,001oiBORV4MFMZ7ID8,,003JT1QIxPg3Up0QZ6,,01tcUKXpM0WRALnA5M
500WdhCnYxuzgyFY1W,12,Billing question,Working,Low,Email,Feature Request,Performance,Rachel A. Fleming,rachel-a.fleming.94-870@example.invalid,Request for assistance with billing question in a synthetic environment.,,2023-07-18T15:27:13Z,0,001qwQ0uBTzXeScQCK,02irK18iUmHsjTlIUW,003K076t9EMOdrZIMF,,01tfdIGGuNBWWCKI1L
500i5mlYfMeiRpfQ8E,13,Billing question,Working,High,Email,Question,Other,Mark J. Rasmussen,mark-j.rasmussen.05-8730@example.invalid,Request for assistance with billing question in a synthetic environment.,,2021-11-11T08:29:40Z,0,001Y94eVbSCMZThYRA,02ih6Go7vQW5S9vAUQ,003pRfElOlZFaFHQ2C,,01tLQO6rC3r5eZ7I1Z
500G7gkgGEJesUrI46,14,Service request,Escalated,Medium,Web,Feature Request,Other,Sara M. Diaz,sara-m.diaz.09-1089@example.invalid,Request for assistance with service request in a synthetic environment.,,2022-08-24T15:57:08Z,0,001paldePwcfVa7AJJ,02iUht9fGAuS0cjAF3,003PtuFiIM0PAx5YGL,5004msFDuf1jZvLAYQ,
500mGHqGh6WJEY2IQ1,15,Performance review,Closed,High,Email,Question,User Education,Gene R. Campbell,gene-r.campbell.22-7574@example.invalid,Request for assistance with performance review in a synthetic environment.,2021-04-19T12:13:14Z,2021-04-03T18:55:14Z,1,001XOGQaJwZLxA8YV5,02iSBJnBRmGpNc6Q4W,,,01tE5PQcgk49jQkYPK
500P13Hxb7ONz8cAHT,16,Service request,Working,Low,Email,Problem,User Education,April K. Grant,april-k.grant.63-9150@example.invalid,Request for assistance with service request in a synthetic environment.,,2021-09-09T23:41:50Z,0,001j6nRokzRlCs1Y07,02ifXScBdVdOOMlADY,0032d55Lu3aGP4UY02,,01tCGhSYxgJztyAYCK
500eYIFFs8Ve4zGQ4K,17,Access configuration,Working,High,Phone,Feature Request,Other,Christopher M. Hall,christopher-m.hall.27-9409@example.invalid,Request for assistance with access configuration in a synthetic environment.,,2021-04-29T04:51:24Z,0,0015Cr2vcIsO2EGY08,02iz1rE3QzpirhFAZF,,,01tCGhSYxgJztyAYCK
500NAtZF4UI5ElkY92,18,Billing question,Closed,High,Web,Feature Request,Performance,Lauren A. Pittman,lauren-a.pittman.92-2470@example.invalid,Request for assistance with billing question in a synthetic environment.,2026-01-14T17:59:03Z,2026-01-02T13:24:20Z,1,,02iU2EQW8MOA1J8IIM,003s8MYKvLvCt3ZAN8,,01t1WVbvQg0mCR8IQ5
500pdkUec0NiWm8A6C,19,Access configuration,Escalated,High,Phone,Problem,Performance,Jeffrey M. Harrington,jeffrey-m.harrington.61-5050@example.invalid,Request for assistance with access configuration in a synthetic environment.,,2021-01-23T01:15:29Z,0,001DbG9gnZEl0ZPAAY,02iJGN1BLHzOSWTQLY,,,01tyFDvfjAnoVc9Q1B
500u9M7NNlGigQeATJ,20,Service request,New,Medium,Email,Question,Other,Hannah J. Garcia,hannah-j.garcia.91-8879@example.invalid,Request for assistance with service request in a synthetic environment.,,2024-04-29T15:01:10Z,0,001HPdcdRz4xhIHI7A,02iA4xKalezivqHAG9,003WKurLGsYoo4UIV9,5004msFDuf1jZvLAYQ,01tfdIGGuNBWWCKI1L
500ZVQpHA3ZiT5SITD,21,Access configuration,Closed,Low,Phone,Problem,User Education,Melissa T. Ramirez,melissa-t.ramirez.04-9932@example.invalid,Request for assistance with access configuration in a synthetic environment.,2021-03-08T04:22:06Z,2021-02-10T04:44:11Z,1,001n3aMHCveux7aI17,02ibJNk2v1qDc65A8A,003MFEL7zy06OMDQY2,,01tDBFsgsRefO2HYYS
500nG2Kvog4SWfQQ8Y,22,Performance review,Escalated,High,Phone,Problem,User Education,Shane B. Davis,shane-b.davis.61-1520@example.invalid,Request for assistance with performance review in a synthetic environment.,,2026-06-09T13:12:05Z,0,001j6nRokzRlCs1Y07,02iMERLInvcuhRGYX1,003F7xNHwBJn7AfAYF,,01tY0Ii9UWBlOfvQCP
500tVIg1HaOO5PfIN2,23,Integration setup,Working,Low,Web,Question,User Education,Jenny S. Hooper,jenny-s.hooper.45-380@example.invalid,Request for assistance with integration setup in a synthetic environment.,,2023-05-16T21:52:01Z,0,001xWEEO3zOAo9KY3S,02icutVJj6k9dNXY4R,003z0yFpL28dVEwAVS,,01tCGhSYxgJztyAYCK
500LOiNRGIhMk5AIVQ,24,Service request,Closed,High,Email,Feature Request,Other,Richard K. Ray,richard-k.ray.22-3258@example.invalid,Request for assistance with service request in a synthetic environment.,2023-08-04T07:28:07Z,2023-07-26T13:43:16Z,1,001IqTHPQDIx3azQWL,,003qYkR1iSyPINlQL0,,01tzS9ohU8JW5tuYDD
500QtKxBwleAp0QYDZ,25,Integration setup,New,High,Web,Problem,Performance,Christopher C. Thompson,christopher-c.thompson.98-0054@example.invalid,Request for assistance with integration setup in a synthetic environment.,,2026-01-26T16:53:26Z,0,001RUYGIDukMN3HIZS,02im3T5I6PlNaEnICR,003Ja3ZcU2GKYT0ASX,,01tAMQSRO2UkPuWIWX
500FwxmWZsObGJeQOY,26,Performance review,New,Medium,Email,Question,Other,Holly A. Mason,holly-a.mason.97-136@example.invalid,Request for assistance with performance review in a synthetic environment.,,2021-02-10T07:07:50Z,0,001KQsenOWHB4fuQM5,02iJjwPFguDfobYA47,003RrRSggJEjfUiQAM,,01tBjvDXiBQe05pQ6K
500kcJyrB1wNiHeAAH,27,Integration setup,Escalated,Low,Phone,Feature Request,Other,Keith J. Cervantes,keith-j.cervantes.51-3945@example.invalid,Request for assistance with integration setup in a synthetic environment.,,2025-05-05T11:00:33Z,0,0012HZJseXkHHpVYJL,,003alE5qF1WznFkQ0X,500ns9T0FrQIwmxYNY,01twCEcgDDkMd9pACR
500HlhEuDV2GHwHAX2,28,Billing question,New,Medium,Email,Problem,Other,Lance B. Tran,lance-b.tran.91-4177@example.invalid,Request for assistance with billing question in a synthetic environment.,,2021-01-22T13:11:44Z,0,,02ijgMHnXiwDhVXYNU,003pHHENHNnxmBcI4E,,01t85nYRxCpN60QICS
500qogdK2fwH7kqI9G,29,Performance review,Escalated,Medium,Web,Feature Request,Performance,Justin S. Monroe,justin-s.monroe.61-7712@example.invalid,Request for assistance with performance review in a synthetic environment.,,2021-04-19T21:38:36Z,0,,02iG3GbukMYQ151YGL,003L5zIWnMKSK6oIXE,,01tTVbIpQ0ISm2pYRV
500Xvl03edwo0wrAXA,30,Performance review,Working,Low,Phone,Question,User Education,Renee A. Bowen,renee-a.bowen.75-4640@example.invalid,Request for assistance with performance review in a synthetic environment.,,2024-04-10T02:05:07Z,0,,02iYt8wMO0FNK7eQZU,003RjFwodbP5EfaADS,,01tjRyBfxPJZEW0YDL
500kujRLKwN5O3DQ8I,31,Integration setup,Working,High,Email,Question,Other,Kelly K. Jordan,kelly-k.jordan.53-2645@example.invalid,Request for assistance with integration setup in a synthetic environment.,,2022-06-27T10:05:40Z,0,,02ibbsvIq06BOL0IRO,003AP1ZR1msFdc2ANA,,01tDBFsgsRefO2HYYS
500CznuhieOdNgvQIO,32,Service request,Escalated,Medium,Phone,Feature Request,Performance,Suzanne T. Bryant,suzanne-t.bryant.25-8405@example.invalid,Request for assistance with service request in a synthetic environment.,,2023-07-03T13:32:02Z,0,001evLCMHIsIpP4IS4,02iadmHBKjAV5MLAPX,003EksnMRiNmAioI92,,01t7U5ipBfHp1PQIKM
